pageid,ns,title,contentmodel,pagelanguage,pagelanguagehtmlcode,pagelanguagedir,touched,lastrevid,length,redirect,new,days_since_last_update
72135653,0,Algorithmic culture,wikitext,en,en,ltr,2023-12-06 03:18:50+00:00,1178200744,4954,,,2
74649989,0,Also a Poet,wikitext,en,en,ltr,2023-12-06 03:20:50+00:00,1178200760,12442,,,2
18290472,0,Artificiality,wikitext,en,en,ltr,2023-12-06 02:25:35+00:00,1176118091,4653,,,2
53169305,0,Assessment culture,wikitext,en,en,ltr,2023-12-07 16:33:13+00:00,1188774679,3509,,,0
43569192,0,Aversion to happiness,wikitext,en,en,ltr,2023-12-06 02:55:44+00:00,1178201101,8930,,,2
6258,0,Civilization,wikitext,en,en,ltr,2023-12-07 04:39:38+00:00,1186745574,94406,,,1
590768,0,Classic,wikitext,en,en,ltr,2023-12-06 01:58:06+00:00,1142617246,6124,,,2
25147220,0,Coloured hat,wikitext,en,en,ltr,2023-12-06 02:34:58+00:00,1186680438,8363,,,2
54004404,0,Criminal tradition,wikitext,en,en,ltr,2023-11-24 04:06:19+00:00,1186360464,5616,,,14
50693529,0,Critical consumerism,wikitext,en,en,ltr,2023-12-06 03:01:45+00:00,1147112194,19238,,,2
67233436,0,Cultural amalgamation,wikitext,en,en,ltr,2023-12-06 03:15:04+00:00,1183754791,14049,,,2
505730,0,Cultural assimilation,wikitext,en,en,ltr,2023-12-08 05:06:28+00:00,1187169459,53442,,,0
18964621,0,Cultural competency training,wikitext,en,en,ltr,2023-12-06 05:00:22+00:00,1135013798,16087,,,2
30963584,0,Cultural consensus theory,wikitext,en,en,ltr,2023-12-06 02:41:23+00:00,1172798577,15440,,,2
32962014,0,Cultural deprivation,wikitext,en,en,ltr,2023-12-06 02:43:34+00:00,1137028574,4550,,,2
164660,0,Cultural diversity,wikitext,en,en,ltr,2023-12-06 14:40:29+00:00,1188609900,41205,,,1
323912,0,Cultural ecology,wikitext,en,en,ltr,2023-12-06 01:56:52+00:00,1187530219,25332,,,2
13775689,0,Cultural emphasis,wikitext,en,en,ltr,2023-12-06 02:20:22+00:00,1072851925,2798,,,2
69411572,0,Cultural expressions,wikitext,en,en,ltr,2023-09-07 09:13:10+00:00,1164436177,29021,,,91
8135793,0,Cultural framework,wikitext,en,en,ltr,2023-12-03 12:48:11+00:00,1085915975,1299,,,4
4543340,0,Cultural intelligence,wikitext,en,en,ltr,2023-12-08 04:52:03+00:00,1188868430,4240,,,0
66428540,0,Cultural issues,wikitext,en,en,ltr,2023-11-09 16:55:22+00:00,1001310311,42,,,28
2036118,0,Cultural lag,wikitext,en,en,ltr,2023-12-06 02:02:43+00:00,1179358049,14633,,,2
57165694,0,Cultural manager,wikitext,en,en,ltr,2023-12-07 04:57:00+00:00,1168556564,5170,,,1
9057549,0,Cultural mediation,wikitext,en,en,ltr,2023-12-03 12:48:17+00:00,1185209116,6276,,,4
5903,0,Cultural movement,wikitext,en,en,ltr,2023-12-03 12:45:58+00:00,1156345264,11158,,,4
30487581,0,Cultural narcissism,wikitext,en,en,ltr,2023-12-05 00:01:19+00:00,831007669,108,,,3
14690776,0,Cultural nationalism,wikitext,en,en,ltr,2023-12-06 02:21:21+00:00,1188090768,8498,,,2
9020225,0,Cultural policy,wikitext,en,en,ltr,2023-12-06 02:14:29+00:00,1175629167,30914,,,2
13144407,0,Cultural practice,wikitext,en,en,ltr,2023-12-06 02:19:40+00:00,1186261024,8373,,,2
33301100,0,Cultural radicalism,wikitext,en,en,ltr,2023-12-05 18:22:48+00:00,1063612653,3238,,,2
9216811,0,Cultural retention,wikitext,en,en,ltr,2023-12-06 02:14:42+00:00,1175161297,4631,,,2
7745490,0,Cultural universal,wikitext,en,en,ltr,2023-12-06 11:17:32+00:00,1188372037,9958,,,1
19159508,0,Culture,wikitext,en,en,ltr,2023-12-06 21:29:25+00:00,1184310300,75223,,,1
12593785,0,Culture change,wikitext,en,en,ltr,2023-12-06 02:18:45+00:00,1187974694,14541,,,2
